id,code,name,province,altitude,latitude,longitude,synop_code,created_at,updated_at
120,C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",LAS PALMAS,806,275125N,153842W,"",2025-05-05 18:26:08.269142,2025-05-05 18:26:08.269142
124,C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",LAS PALMAS,960,275512N,153427W,"",2025-05-05 18:26:08.273572,2025-05-05 18:26:08.273572
125,C639M,"MASPALOMAS, C. INSULAR TURISMO ",LAS PALMAS,45,274529N,153432W,"",2025-05-05 18:26:08.274527,2025-05-05 18:26:08.274527
126,C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",LAS PALMAS,41,274845N,152711W,"",2025-05-05 18:26:08.275554,2025-05-05 18:26:08.275554
128,C648N,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,344,275915N,152728W,"",2025-05-05 18:26:08.277640,2025-05-05 18:26:08.277640
129,C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,24,275504N,152343W,60030,2025-05-05 18:26:08.278674,2025-05-05 18:26:08.278674
130,C649R,"TELDE, MELENARA",LAS PALMAS,9,275912N,152240W,"",2025-05-05 18:26:08.279798,2025-05-05 18:26:08.279798
131,C656V,TEROR,LAS PALMAS,683,280431N,153250W,"",2025-05-05 18:26:08.281080,2025-05-05 18:26:08.281080
132,C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269,280430N,152703W,"",2025-05-05 18:26:08.282287,2025-05-05 18:26:08.282287
133,C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,269,280441N,152712W,"",2025-05-05 18:26:08.283380,2025-05-05 18:26:08.283380
134,C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,55,280523N,152458W,60029,2025-05-05 18:26:08.284682,2025-05-05 18:26:08.284682
127,C648C,AGUIMES,LAS PALMAS,306,275409N,152714W,"",2025-05-05 18:26:08.276525,2025-05-05 18:26:08.276525
122,C629Q,"MOGAN, PUERTO RICO",LAS PALMAS,10,274648N,154240W,"",2025-05-05 18:26:08.271265,2025-05-05 18:26:08.271265
121,C628B,"LA ALDEA DE SAN NICOLAS, TASARTE",LAS PALMAS,318,275432N,154612W,"",2025-05-05 18:26:08.270163,2025-05-05 18:26:08.270163
118,C619Y,LA ALDEA DE SAN NICOLAS,LAS PALMAS,13,280004N,154827W,60027,2025-05-05 18:26:08.267075,2025-05-05 18:26:08.267075
116,C619I,LA ALDEA DE SAN NICOLAS,LAS PALMAS,10,280003N,154850W,60027,2025-05-05 18:26:08.264532,2025-05-05 18:26:08.264532
123,C629X,"MOGAN, PUERTO",LAS PALMAS,10,274859N,154551W,60036,2025-05-05 18:26:08.272576,2025-05-05 18:26:08.272576
135,C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,15,280647N,152517W,60032,2025-05-05 18:26:08.286380,2025-05-05 18:26:08.286380
136,C665T,VALLESECO,LAS PALMAS,900,280356N,153356W,"",2025-05-05 18:26:08.287816,2025-05-05 18:26:08.287816
137,C668V,AGAETE - SUERTE ALTA,LAS PALMAS,352,280540N,154030W,"",2025-05-05 18:26:08.289604,2025-05-05 18:26:08.289604
138,C669B,ARUCAS,LAS PALMAS,86,280830N,153024W,"",2025-05-05 18:26:08.290655,2025-05-05 18:26:08.290655
139,C689E,MASPALOMAS,LAS PALMAS,6,274409N,153545W,60037,2025-05-05 18:26:08.291712,2025-05-05 18:26:08.291712
140,C839I,TEGUISE,LAS PALMAS,10,291355N,133007W,"",2025-05-05 18:26:08.292765,2025-05-05 18:26:08.292765
141,C839X,LA GRACIOSA,LAS PALMAS,19,291347N,133037W,60045,2025-05-05 18:26:08.293749,2025-05-05 18:26:08.293749
142,C916Q,"EL PINAR, DEPSITO",STA. CRUZ DE TENERIFE,948,274308N,175841W,"",2025-05-05 18:26:08.294693,2025-05-05 18:26:08.294693
143,C917E,"EL PINAR, LA DEHESA",STA. CRUZ DE TENERIFE,713,274331N,180654W,"",2025-05-05 18:26:08.295796,2025-05-05 18:26:08.295796
144,C919K,TACORON-LAPILLAS-TORTUGA,STA. CRUZ DE TENERIFE,98,273955N,180107W,"",2025-05-05 18:26:08.297093,2025-05-05 18:26:08.297093
145,C925F,"SAN ANDRS, VALVERDE",STA. CRUZ DE TENERIFE,1070,274608N,175737W,"",2025-05-05 18:26:08.298178,2025-05-05 18:26:08.298178
146,C928I,VALVERDE,STA. CRUZ DE TENERIFE,670,274839N,175510W,"",2025-05-05 18:26:08.299190,2025-05-05 18:26:08.299190
148,C939T,"FRONTERA, SABINOSA",STA. CRUZ DE TENERIFE,20,274523N,180627W,"",2025-05-05 18:26:08.301397,2025-05-05 18:26:08.301397
149,0002I,VANDELLS  ,TARRAGONA,32,405729N,005217E,08169,2025-05-05 18:26:08.302621,2025-05-05 18:26:08.302621
150,0009X,ALFORJA,TARRAGONA,406,411250N,005748E,"",2025-05-05 18:26:08.303818,2025-05-05 18:26:08.303818
151,0016A,REUS AEROPUERTO,TARRAGONA,71,410842N,010949E,08175,2025-05-05 18:26:08.304977,2025-05-05 18:26:08.304977
152,0016B,REUS (CENTRE LECTURA),TARRAGONA,118,410915N,010632E,"",2025-05-05 18:26:08.306507,2025-05-05 18:26:08.306507
153,0034X,VALLS,TARRAGONA,233,411735N,011539E,"",2025-05-05 18:26:08.308146,2025-05-05 18:26:08.308146
154,0042Y,TARRAGONA ,TARRAGONA,55,410726N,011457E,"",2025-05-05 18:26:08.309374,2025-05-05 18:26:08.309374
155,0061X,PONTONS,BARCELONA,632,412501N,013109E,"",2025-05-05 18:26:08.310460,2025-05-05 18:26:08.310460
156,0066X,VILAFRANCA DEL PENEDS,BARCELONA,177,411949N,014037E,"",2025-05-05 18:26:08.311511,2025-05-05 18:26:08.311511
157,0073X,SITGES,BARCELONA,58,411438N,015109E,"",2025-05-05 18:26:08.312541,2025-05-05 18:26:08.312541
158,0076,BARCELONA AEROPUERTO,BARCELONA,4,411734N,020412E,08181,2025-05-05 18:26:08.313580,2025-05-05 18:26:08.313580
159,0092X,BERGA,BARCELONA,682,420605N,015127E,"",2025-05-05 18:26:08.314700,2025-05-05 18:26:08.314700
160,0106X,BALSARENY,BARCELONA,361,415159N,015221E,"",2025-05-05 18:26:08.315731,2025-05-05 18:26:08.315731
161,0114X,PRATS DE LLUANS,BARCELONA,700,420025N,020136E,"",2025-05-05 18:26:08.317610,2025-05-05 18:26:08.317610
162,0120X,MOI,BARCELONA,742,414848N,020543E,"",2025-05-05 18:26:08.319993,2025-05-05 18:26:08.319993
163,0149D,MANRESA (LA CULLA),BARCELONA,291,414312N,015025E,"",2025-05-05 18:26:08.322461,2025-05-05 18:26:08.322461
164,0149X,MANRESA,BARCELONA,291,414312N,015025E,08174,2025-05-05 18:26:08.324296,2025-05-05 18:26:08.324296
165,0158O,MONTSERRAT,BARCELONA,738,413540N,015021E,"",2025-05-05 18:26:08.325840,2025-05-05 18:26:08.325840
166,0158X,MONISTROL DE MONTSERRAT,BARCELONA,738,413540N,015021E,"",2025-05-05 18:26:08.327261,2025-05-05 18:26:08.327261
167,0171X,IGUALADA,BARCELONA,313,413444N,013704E,08172,2025-05-05 18:26:08.329045,2025-05-05 18:26:08.329045
168,0194D,"CORBERA, PIC D'AGULLES",BARCELONA,647,412429N,015306E,08179,2025-05-05 18:26:08.332421,2025-05-05 18:26:08.332421
169,0200E,"BARCELONA, FABRA",BARCELONA,408,412506N,020727E,"",2025-05-05 18:26:08.334341,2025-05-05 18:26:08.334341
170,0201D,"BARCELONA, PORT OLMPIC",BARCELONA,26,412326N,021200E,08180,2025-05-05 18:26:08.335717,2025-05-05 18:26:08.335717
171,0201X,"BARCELONA, DRASSANES",BARCELONA,11,412230N,021026E,"",2025-05-05 18:26:08.338013,2025-05-05 18:26:08.338013
172,0222X,CALDES DE MONTBUI,BARCELONA,175,413646N,021006E,"",2025-05-05 18:26:08.345113,2025-05-05 18:26:08.345113
173,0229I,SABADELL AEROPUERTO,BARCELONA,146,413125N,020611E,08192,2025-05-05 18:26:08.348453,2025-05-05 18:26:08.348453
174,0244X,VILASSAR DE DALT,BARCELONA,56,413018N,022145E,"",2025-05-05 18:26:08.350747,2025-05-05 18:26:08.350747
175,0252D,ARENYS DE MAR,BARCELONA,74,413514N,023224E,08186,2025-05-05 18:26:08.352415,2025-05-05 18:26:08.352415
176,0255B,SANTA SUSANNA,BARCELONA,40,413903N,024149E,08188,2025-05-05 18:26:08.354430,2025-05-05 18:26:08.354430
177,0260X,FOGARS DE MONTCLS,BARCELONA,936,414536N,022552E,"",2025-05-05 18:26:08.358147,2025-05-05 18:26:08.358147
178,0281Y,BLANES,GIRONA,45,414037N,024818E,"",2025-05-05 18:26:08.360899,2025-05-05 18:26:08.360899
179,0284X,CASTELL D'ARO,GIRONA,14,414828N,030151E,"",2025-05-05 18:26:08.362949,2025-05-05 18:26:08.362949
180,0294B,LA BISBAL (D'EMPORDA 3),GIRONA,51,415804N,030232E,"",2025-05-05 18:26:08.364884,2025-05-05 18:26:08.364884
181,0312X,SANT PAU DE SEGRIES,GIRONA,851,421530N,022152E,"",2025-05-05 18:26:08.367561,2025-05-05 18:26:08.367561
182,0320I,PLANOLES,GIRONA,1151,421901N,020610E,"",2025-05-05 18:26:08.370060,2025-05-05 18:26:08.370060
183,0321,CAMPDEVANOL,GIRONA,731,421322N,021002E,"",2025-05-05 18:26:08.371342,2025-05-05 18:26:08.371342
184,0324A,RIPOLL,GIRONA,675,421129N,021146E,08118,2025-05-05 18:26:08.372548,2025-05-05 18:26:08.372548
185,0341,TONA (ESCOLA),BARCELONA,611,415048N,021336E,"",2025-05-05 18:26:08.373601,2025-05-05 18:26:08.373601
186,0341X,TONA,BARCELONA,607,415049N,021321E,"",2025-05-05 18:26:08.375084,2025-05-05 18:26:08.375084
187,0349,SANT JULI  DE VILATORTA,BARCELONA,578,415534N,021903E,08119,2025-05-05 18:26:08.376261,2025-05-05 18:26:08.376261
188,0360X,LES PLANES D'HOSTOLES,GIRONA,337,420310N,023304E,"",2025-05-05 18:26:08.377632,2025-05-05 18:26:08.377632
189,0363X,SANT HILARI,GIRONA,810,415251N,023048E,"",2025-05-05 18:26:08.378611,2025-05-05 18:26:08.378611
190,0367,GIRONA AEROPUERTO,GIRONA,143,415442N,024548E,08184,2025-05-05 18:26:08.379662,2025-05-05 18:26:08.379662
191,0370B,"GIRONA, ANTIC INSTITUT",GIRONA,95,415848N,024931E,"",2025-05-05 18:26:08.380646,2025-05-05 18:26:08.380646
192,0370E,GIRONA,GIRONA,76,415820N,024910E,"",2025-05-05 18:26:08.381564,2025-05-05 18:26:08.381564
193,0372C,PORQUERES,GIRONA,157,420616N,024549E,08120,2025-05-05 18:26:08.382478,2025-05-05 18:26:08.382478
194,0385X,L'ESTARTIT,GIRONA,1,420314N,031205E,"",2025-05-05 18:26:08.383811,2025-05-05 18:26:08.383811
195,0394X,LA VALL DE BIANYA,GIRONA,350,421238N,022819E,"",2025-05-05 18:26:08.384773,2025-05-05 18:26:08.384773
196,0411X,CASTELL D'EMPRIES,GIRONA,2,421329N,030535E,"",2025-05-05 18:26:08.385696,2025-05-05 18:26:08.385696
197,0413A,MAANET DE CABRENYS,GIRONA,355,422313N,024520E,"",2025-05-05 18:26:08.386647,2025-05-05 18:26:08.386647
198,0421E,ESPOLLA 'LES ALBERES',GIRONA,100,422324N,030022E,"",2025-05-05 18:26:08.387714,2025-05-05 18:26:08.387714
199,0421X,ESPOLLA,GIRONA,100,422324N,030022E,"",2025-05-05 18:26:08.388808,2025-05-05 18:26:08.388808
200,0429X,FIGUERES,GIRONA,45,421533N,025737E,"",2025-05-05 18:26:08.390124,2025-05-05 18:26:08.390124
201,0433D,CABO DE CREUS,GIRONA,75,421909N,031856E,08121,2025-05-05 18:26:08.391096,2025-05-05 18:26:08.391096
202,1002Y,"BAZTAN, IRURITA ",NAVARRA,183,430809N,013235W,08030,2025-05-05 18:26:08.392215,2025-05-05 18:26:08.392215
203,1010X,BERA,NAVARRA,54,431643N,014033W,"",2025-05-05 18:26:08.393439,2025-05-05 18:26:08.393439
204,1012P,IRUN,GIPUZKOA,120,431935N,014748W,"",2025-05-05 18:26:08.394398,2025-05-05 18:26:08.394398
205,1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,4,432125N,014732W,08029,2025-05-05 18:26:08.395483,2025-05-05 18:26:08.395483
206,1014A,DONOSTIA / SAN SEBASTIN AEROPUERTO,GIPUZKOA,4,432125N,014732W,08029,2025-05-05 18:26:08.397346,2025-05-05 18:26:08.397346
877,9495Y,LECIENA,ZARAGOZA,405,414748N,003702W,"",2025-05-05 18:26:09.179039,2025-05-05 18:26:09.179039
207,1021X,"ERRENTERIA, AARBE",GIPUZKOA,165,431250N,015244W,"",2025-05-05 18:26:08.398460,2025-05-05 18:26:08.398460
208,1021Y,ARTICUTZA (AUTOMATICA),NAVARRA,305,431244N,014752W,"",2025-05-05 18:26:08.399547,2025-05-05 18:26:08.399547
209,1024E,"DONOSTIA / SAN SEBASTIN, IGELDO",GIPUZKOA,250,431823N,020228W,08027,2025-05-05 18:26:08.400680,2025-05-05 18:26:08.400680
210,1025A,SEGURA,GIPUZKOA,255,430056N,021524W,"",2025-05-05 18:26:08.401793,2025-05-05 18:26:08.401793
211,1025X,"BEASAIN, ARRIARAN",GIPUZKOA,255,430317N,021355W,"",2025-05-05 18:26:08.402939,2025-05-05 18:26:08.402939
212,1026X,ORDIZIA,GIPUZKOA,290,430329N,021103W,"",2025-05-05 18:26:08.404732,2025-05-05 18:26:08.404732
213,1033X,ARESO,NAVARRA,520,430506N,015703W,"",2025-05-05 18:26:08.405756,2025-05-05 18:26:08.405756
214,1037X,LEGAZPI,GIPUZKOA,460,430306N,022014W,"",2025-05-05 18:26:08.406688,2025-05-05 18:26:08.406688
215,1037Y,ZUMARRAGA,GIPUZKOA,420,430448N,021903W,08037,2025-05-05 18:26:08.407761,2025-05-05 18:26:08.407761
216,1038X,AZPEITIA,GIPUZKOA,180,431021N,021602W,"",2025-05-05 18:26:08.408880,2025-05-05 18:26:08.408880
217,1041A,ZUMAIA,GIPUZKOA,28,431808N,021504W,08026,2025-05-05 18:26:08.410203,2025-05-05 18:26:08.410203
218,1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,617,430328N,023523W,"",2025-05-05 18:26:08.411372,2025-05-05 18:26:08.411372
219,1048X,ARETXABALETA,GIPUZKOA,308,430130N,022757W,"",2025-05-05 18:26:08.412548,2025-05-05 18:26:08.412548
220,1049N,ELGETA,GIPUZKOA,470,430818N,022945W,"",2025-05-05 18:26:08.413769,2025-05-05 18:26:08.413769
